facilityname,sitenumber,owner,manager
ADAK,50009,ALASKA DOT&PF SOUTHCOAST REGION,INNOCENT DUSHKIN
AKHIOK,50016.1,ALASKA DOT&PF SOUTHCOAST REGION,ROBERT GREENE
AKHIOK,50016.1,ALASKA DOT&PF SOUTHCOAST REGION,ROBERT GREENE
AKHIOK,50016.1,ALASKA DOT&PF SOUTHCOAST REGION,ROBERT GREENE
AKIACHAK,50017,ALASKA DOT&PF CENTRAL REGION,LAWRENCE DAVIS
AKIACHAK,50017.1,PUBLIC DOMAIN,NO MANAGER
AKIAK,50020,ALASKA DOT&PF CENTRAL REGION,LAWERENCE DAVIS
AKUTAN,50022,CITY OF AKUTAN,JOE BERESKIN
AKUTAN,50022,CITY OF AKUTAN,JOE BERESKIN
AKUTAN,50022,CITY OF AKUTAN,JOE BERESKIN
AKUTAN,50022,CITY OF AKUTAN,JOE BERESKIN
AKUTAN,50022.1,ALASKA DOT&PF SOUTHCOAST REGION,DALE RUCKMAN
ALAKANUK,50024.1,ALASKA DOT&PF NORTHERN REGION,JOHN WILSON
ALAKANUK,50024.1,ALASKA DOT&PF NORTHERN REGION,JOHN WILSON
ALAKANUK,50024.1,ALASKA DOT&PF NORTHERN REGION,JOHN WILSON
TRIPOD,50027.51,PUBLIC DOMAIN,NO MANAGER
ALEKNAGIK,50027.52,MOODY,ROLAND OR BEVERLY MOODY
ALEKNAGIK /NEW,50027.53,ALASKA DOT&PF CENTRAL REGION,NORMAN HEYANO
ALEKNAGIK MISSION STRIP,50027.6,WOODRIVER HEIGHTS,RON SMITH
ALEKNAGIK MISSION STRIP,50027.6,WOODRIVER HEIGHTS,RON SMITH
ALEKNAGIK MISSION STRIP,50027.6,WOODRIVER HEIGHTS,RON SMITH
ALEKNAGIK MISSION STRIP,50027.6,WOODRIVER HEIGHTS,RON SMITH
ALLAKAKET,50029.1,ALASKA DOT&PF NORTHERN REGION,TOM WILLIAMS
AMBLER,50029.61,ALASKA DOT&PF NORTHERN REGION,ALVIN WERNEKE
